"""nome_unidade""";Unidade Pai;"""tipo_logradouro""";"""logradouro""";"""numero""";"""complemento""";"""bairro""";"""cidade""";"""cep""";"""email""";"""titular""";"""telefone""";"""sei_geral""";;;
DIRETORIA DE DOCUMENTACAO E HISTORIA;SUPERINTENDENCIA DE PLANEJAMENTO GESTAO E FINANCAS - SPGF;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630-900""";ddh.spgf@gmail.com;ROBERTA FERREIRA BRAGA;(31) 9924-1035;PCMG/DDH;;;
DIRETORIA DE LOGISTICA PATRIMONIO E MANUTENCAO;SUPERINTENDENCIA DE PLANEJAMENTO GESTAO E FINANCAS - SPGF;Rua;CONDE PEREIRA CARNEIRO;"""400""";"""""";GAMELEIRA;BELO HORIZONTE;"""30510-010""";patrimonio@dlogistica.pcivil.mg.gov.br;DAIANA SILVA CAETANO;(31) 3257-7700;PCMG/SPGF/DLPM;;;
DIRETORIA DE MATERIAL BELICO;SUPERINTENDENCIA DE PLANEJAMENTO GESTAO E FINANCAS - SPGF;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630900""";"""8888888888@8888888""";MICHELLE VALERIA MANZALLI CAMPOS;(31) 3915-7385;PCMG/DMB;;;
DIRETORIA DE MODERNIZACAO INSTITUCIONAL;SUPERINTENDENCIA DE PLANEJAMENTO GESTAO E FINANCAS - SPGF;Avenida;RODOVIA PREFEITO AMERICO GIANETTI;"""4143""";PREDIO MINAS;SERRA VERDE;BELO HORIZONTE;"""31110-030""";spgfdmi@gmail.com;LETICIA DE LIMA E SILVA;(31) 3915-7334;PCMG/DMI;;;
DIRETORIA DE PLANEJAMENTO E ORCAMENTO;SUPERINTENDENCIA DE PLANEJAMENTO GESTAO E FINANCAS - SPGF;Avenida;PAPA JOAO PAULO II;"""4143""";PREDIO MINAS 4 ANDAR CIDADE ADMINISTRATIVA PRESIDENTE TANCREDO NEVES;SERRA VERDE;BELO HORIZONTE;"""31630-900""";planejamento.orcamento@policiacivil.mg.gov.br;MARCELA DINIZ DOS SANTOS;(31) 3915-7210;PCMG/DPO;;;
DIRETORIA DE TRANSPORTES;SUPERINTENDENCIA DE PLANEJAMENTO GESTAO E FINANCAS - SPGF;Rua;EXPEDICIONARIO NILO SEABRA;"""177""";"""""";SANTA EFIGENIA;BELO HORIZONTE;"""30260-090""";gabinete.dt@pcivil.mg.gov.br;FRANCIS DINIZ GUERRA;(31) 3257-5200;PCMG/SPGF/DT;;;
SECAO DE CONTROLE IMOBILIARIO;COORDENACAO DE PLANEJAMENTO GESTAO E FINANCAS;Avenida;PAPA JOAO PAULO II;"""4143""";PREDIO MINAS 4 ANDAR;SERRA VERDE;BELO HORIZONTE;"""31630-900""";annapsouza.spgf@gmail.com;ANNA PAULA VIEIRA DE SOUZA;(31)9999-52471;PCMG/SCI;;;
SECAO DE ENGENHARIA;COORDENACAO DE PLANEJAMENTO GESTAO E FINANCAS;Avenida;AVENIDA PAPA JOAO PAULO II;"""4143""";PREDIO MINAS 4 ANDAR;SERRA VERDE;BELO HORIZONTE;"""31630-900""";engenharia.spgf@gmail.com;CHARLES PEREIRA SILVA;(31)97557-0555;PCMG/ENG;;;
SUPERINTENDENCIA DE PLANEJAMENTO GESTAO E FINANCAS - SPGF;CONSELHO;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630-900""";gabinete.spgf@pcivil.mg.gov.br;ANDREA MENDES DE SOUZA ABOOD;(31) 3915-7240;PCMG/SPGF;;;
DIVISAO DE MEDICINA LEGAL DO INTERIOR;SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - SPTC;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31.630-900""";dmli.sptc@policiacivil.mg.gov.br;LILIAN CRISTINA ZAZA SANTOS BARRERA;(31) 3915-7261;PCMG/SPTC/DMLI;;;
DIVISAO DE PERICIAS DO INTERIOR;SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - SPTC;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31.630-900""";dpi.sptc@policiacivil.mg.gov.br;RENATA MATUCK MENDES;(31) 3915-7345;PCMG/SPTC/DPI;;;
DIVISAO TECNICO CIENTIFICA;SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - SPTC;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31.630-900""";gabinete.sptc@policiacivil.mg.gov.br;FELIPE MACHADO DAPIEVE;(31) 3915-7343;PCMG/SPTC/DTC;;;
INSTITUTO DE CRIMINALISTICA;SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - SPTC;Avenida;AUGUSTO DE LIMA;"""1833""";"""""";BARRO PRETO;BELO HORIZONTE;"""30190-002""";expediente.icmg@policiacivil.mg.gov.br;BRUNO DE ALMEIDA FELIPE;(31) 3330-1702;PCMG/ICMG;;;
INSTITUTO MEDICO LEGAL;SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - SPTC;Rua;CECILDES MOREIRA DE FARIA;"""150""";"""""";NOVA GAMELEIRA;BELO HORIZONTE;"""30510-250""";diretoria.iml@policiacivil.mg.gov.br;ARNALDO LABOISSIERE MUZZI;(31) 3379-5000;PCMG/IML;;;
POSTO DE PERICIA INTEGRADO - NOVA LIMA;SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - SPTC;Avenida;-;"""1""";"-*NOVA LIMA*-*-*-*""1""";;;;;;;;;;
SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - SPTC;CONSELHO;Avenida;PAPA JOAO PAULO II;"""4.143""";PREDIO MINAS, 4 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31630-900""";gabinete.sptc@pcivil.mg.gov.br;THALES BITTENCOURT DE BARCELOS;(31) 3915-7352;PCMG/SPTC;;;
 DIVISAO ESPECIALIZADA OPERACIONAL - DEOESP;DEPARTAMENTO ESTADUAL DE OPERACOES ESPECIAIS;Rua;BERNARDO GUIMARAES;"""1468""";"""""";FUNCIONARIOS;BELO HORIZONTE;"""30140-082""";deoesp@policiacivil.mg.gov.br;MARCUS VINICIUS LOBO LEITE VIEIRA;(31) 3257-7169;PCMG/DEOESP/DIVISAO/GAB;;;
"""01 CENTRAL ESTADUAL DO PLANTAO DIGITAL - BH""";SUPERINTENDENCIA DE INVESTIGACAO E POLICIA JUDICIARIA - SIPJ;Rodovia;PAPA JOAO PAULO II;"""4.143""";PREDIO ALTEROSA, 1 ANDAR - CIDADE ADMINISTRATIVA;SERRA VERDE;BELO HORIZONTE;"""31.630-900""";cepd@policiacivil.mg.gov.br;THIAGO GOMES RIBEIRO;(31) 3916-9366;PCMG/SIPJ/CEPD/GABINETE;;;
"""01 DELEGACIA DE POLICIA CIVIL - ALMENARA""";"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - ALMENARA""";Rua;LIVIO FROES OTONI;"""96""";GABINETE A;CENTRO;ALMENARA;"""39900-000""";regional.almenara@pcivil.mg.gov.br;"""14 DELEGACIA DE POLICIA CIVIL/ALMENARA""";(33) 3721-8500;PCMG/15DepPC/3DRPC/ALMENARA;;;
"""01 DELEGACIA DE POLICIA CIVIL - BARREIRO""";"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - BARREIRO""";Rua;SOLIMOES;"""263""";"""""";JARDINOPOLIS;BELO HORIZONTE;"""30510-530""";pjudiciaria.1dpc@gmail.com;MARCELA NOGUEIRA MACEDO;(31) 3257-7716;PCMG/BH/2DRPC/BARRE/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - BETIM""";"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - BETIM""";Rua;DA BANDEIRA;"""67""";"""""";LARANJEIRAS;BETIM;"""32676-564""";"""1dpc.betim@policiacivil.mg.gov.br""";CRISTIANE APARECIDA FLORIANO DE OLIVEIRA;(31) 3257-7487;PCMG/2DRPC/BETIM/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - CENTRO""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - CENTRO""";Rua;CONSELHEIRO ROCHA;"""321""";"""""";CENTRO;BELO HORIZONTE;"""30150-210""";delegacia1centro@gmail.com;HELENA TERUMI VIANA HATA;(31) 3219-2339;PCMG/BH/1DRPC/CENTRO/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - CONTAGEM""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - CONTAGEM""";Rua;TURMALINA;"""380""";;SAO JOAQUIM;CONTAGEM;"""32113-060""";"""1depol.contagem@policiacivil.mg.gov.br""";DR. FELIPE DE LIGORIO PINTO;(31) 3257-7421;PCMG/CONTAGEM/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - GOVERNADOR VALADARES""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - GOVERNADOR VALADARES""";Rua;CASTRO ALVES;"""445""";"""""";CENTRO;GOVERNADOR VALADARES;"""35010-310""";assessoria.governadorvaladares@policiacivil.mg.gov.br;DELEGADO DR LUCIANO CUNHA DE LIMA;(33) 3213-4700;PCMG/1DRPC/GV/SECRETARIA;;;
"""01 DELEGACIA DE POLICIA CIVIL - IBIRITE""";"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - IBIRITE""";Avenida;PRESIDENTE TANCREDO DE ALMEIDA NEVES;"""246""";;PALMARES;IBIRITE;"""32.423-090""";"""1dpcibirite@gmail.com""";DR. GIOVANNI AMORMINO DA SILVA;(31) 3257-7063;PCMG/4DRPC/IBIRITÉ/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - IPATINGA""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - IPATINGA""";Rua;SANTA BARBARA;"""05""";ESQUINA COM A JOAO VALENTIM PASCOAL;CENTRO;IPATINGA;"""35160-038""";delegaciahomicidiosipatinga@gmail.com;DR.  LEONARDO FELIX DAMASCENO;(31) 3828-1101;PCMG/1DRPC/IPATINGA/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - JANAUBA""";"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - JANAUBA""";Rua;ESPINOSA;"""105""";"""""";CENTRO;JANAUBA;"""39442-070""";expediente.janauba@pcivil.mg.gov.br;DR. RICARDO ESTHEVAN FERNANDO AUGUSTO DO AMARAL - TITULAR DA 3 DRPC DE JANAUBA;(38) 3829-3000;PCMG/3DRPC/JANAÚBA/PROTOCOLO;;;
"""01 DELEGACIA DE POLICIA CIVIL - JANUARIA""";"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - JANUARIA""";Avenida;MARECHAL EURICO GASPAR DUTRA;"""484""";"""""";CENTRO;JANUARIA;"""39480-000""";cartorio.januaria@policiacivil.mg.gov.br;DR. LUIZ BERNARDO RODRIGUES DE MORAES NETO;(38) 3629-4800;PCMG/2DRPC/JANUÁRIA/PROTOCOLO;;;
"""01 DELEGACIA DE POLICIA CIVIL - JUIZ DE FORA""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - JUIZ DE FORA""";Rua;MORAES E CASTRO;"""540""";"""""";SAO MATEUS;JUIZ DE FORA ;"""36025-160""";"""1e2dpcjuizdefora@gmail.com""";LUCIANO VIDAL RIBEIRO DE OLIVEIRA/ ARMANDO AVOLIO NETO;(32) 3229-5890;PCMG/1DRPC/JF/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - LESTE""";"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - LESTE""";Rua;POUSO ALEGRE;"""417""";"""2 ANDAR""";FLORESTA;BELO HORIZONTE;"""31110-010""";inspetoria.1dpleste@policiacivil.mg.gov.br;ANDREA POCHMANN;(31) 3429-9318;PCMG/BH/4DRPC/LESTE/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - MONTES CLAROS""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - MONTES CLAROS""";Rua;ENOR DE BRITO;"""222""";"""""";MORADA DO SOL;MONTES CLAROS;"""39.403-235""";aisp98.montesclaros02@gmail.com;DRA. MONIQUE MORAIS BICALHO;(38) 3229-4400;PCMG/1DRPC/MOC/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - MURIAE""";"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - MURIAE""";Rua;JOSE DE FREITAS LIMA;"""02""";;SAFIRA;MURIAE;"""36883-045""";gab.muriae@gmail.com;ALESSANDRO AMARO DA MATTA;(32) 3722-2777;PCMG/4DRPC/MURIAÉ/PROTOCOLO;;;
"""01 DELEGACIA DE POLICIA CIVIL - NOROESTE""";"""06 DELEGACIA REGIONAL DE POLICIA CIVIL - NOROESTE""";Avenida;JOAO XXIII;"""287""";"""""";ALIPIO DE MELO;BELO HORIZONTE;"""30820-660""";cartorio.1dpc.noroeste@policiacivil.mg.gov.br;JORGE LUIZ GONZAGA CORREIA;(31) 3479-5324;PCMG/BH/6DRPC/NOR/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - NOVA LIMA""";"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - NOVA LIMA""";Rua;PRACA CEL ARISTIDES;"""100""";"""""";CENTRO;NOVA LIMA;"""34000-000""";dcrimesp@gmail.com;DANIEL BALTHAZAR DA SILVEIRA SCHINDLER COUTINHO;(31) 3257-7885;PCMG/2DRPC/NOVA LIMA/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - PASSOS""";"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - PASSOS""";Rua;PRACA CORONEL FRANCISCO GOMES;"""46""";"""""";CENTRO;PASSOS;"""37900-000""";protocolo.3drpcpassos@gmail.com;ALEXSSANDER BUENO DE SOUZA;(35) 3521-8300;PCMG/18DepPC/3DRPC/PASSOS;;;
"""01 DELEGACIA DE POLICIA CIVIL - PATOS DE MINAS""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - PATOS DE MINAS""";Rua;DOS CARAJÁS;"""461""";;CAIÇARAS;PATOS DE MINAS;"""38702-188""";dccppatosdeminas@gmail.com;LUIS MAURO SAMPAIO PEREIRA;(34) 3171-0921;PCMG/1DRPC/PAT MINAS/DCCP;;;
"""01 DELEGACIA DE POLICIA CIVIL - PATROCINIO""";"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - PATROCINIO""";Rua;HELOISA CAPUANO;"""816""";;SAO LUCAS;PATROCINIO;"""38747-508""";drpc.patrocinio@policiacivil.mg.gov.br;RENATO MENDONCA CARDOSO;(34) 3831-9599;PCMG/2DRPC/PATROCÍNIO/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - POCOS DE CALDAS""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - POCOS DE CALDAS""";Avenida;JOSÉ REMIGIO PRÉZIA;"""502""";"""""";JARDIM DOS ESTADOS;POCOS DE CALDAS;"""37701-102""";"""1dpcpcaldas@gmail.com""";JULIANE EMIKO HISSANAGA QUAGGIO;(35) 2101-5115;PCMG/1DRPC/P CALDAS/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - POUSO ALEGRE""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - POUSO ALEGRE""";Rua;SILVESTRE FERRAZ;"""226""";;CENTRO;POUSO ALEGRE ;"""37550-126""";cartorio.pousoalegre@pcivil.mg.gov.br;DRA. STELA PIRES BOCZAR;(35) 3429-5600;PCMG/17DEPPC/1DRPC/P ALEGRE;;;
"""01 DELEGACIA DE POLICIA CIVIL - RIBEIRAO DAS NEVES""";"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - RIBEIRAO DAS NEVES""";Rua;ANTONIO DE SOUZA MENEZES;"""07""";"""""";JUSTINOPOLIS;RIBEIRAO DAS NEVES;"""33900-720""";informacao.1dpc.neves@policiacivil.mg.gov.br;ALEX DALTON DE SOUZA;(31) 3257-7400;PCMG/3DRPC/RIB NEVES/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - SABARA""";"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - SABARA""";Rua;CRETA;"""137""";"""""";ANA LUCIA;SABARA;"""34710-140""";"""1dpcsabara@gmail.com""";CRISTIANO STRAPASSON SEVERO;(31) 3257-7834;PCMG/4DRPC/SABARÁ/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - SANTA LUZIA""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - SANTA LUZIA""";Avenida;YOLANDA TEIXEIRA DA COSTA;"""1850""";AISP 56;PALMITAL;SANTA LUZIA;"""33145-380""";"""1dpcslpalmital@gmail.com""";GABRIEL CIRIACO FONSECA;(31) 3257-7914;PCMG/1DRPC/SANTA LUZIA/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - SETE LAGOAS""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - SETE LAGOAS""";Rua;JOSE DUARTE DE PAIVA;"""579""";"""0""";SANTA LUZIA;SETE LAGOAS;"""35700-559""";leandro1983saraiva@gmail.com;LEANDRO ANDRADE SARAIVA;(31) 3774-1313;PCMG/1DRPC/S LAGOAS/1ªDPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - SUL""";"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - SUL""";Rua;CARANGOLA;"""27""";A;SANTO ANTONIO;BELO HORIZONTE;"""30330-240""";protocolo1dpcsul@gmail.com;STEFHANY KAROLINE MARTINS GONCALVES;(31) 3257-7086;PCMG/BH/5DRPC/SUL/1DPC/PROTOC;;;
"""01 DELEGACIA DE POLICIA CIVIL - TEOFILO OTONI""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - TEOFILO OTONI""";Rua;LAURO VIEIRA OTONI;"""20""";;SAO DIOGO;TEÓFILO OTONI;"""39803-002""";x@x;DR. MARCIO PEREIRA DE SOUZA;(33) 3529-3734;PCMG/1DRPC/T OTONI/NORTE;;;
"""01 DELEGACIA DE POLICIA CIVIL - UBA""";"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - UBA""";Avenida;EX COMBATENTES;"""1333""";;SANTA LUZIA;UBA;"""36506-014""";gabinete.uba@policiacivil.mg.gov.br;DEISE LUCIA DE OLIVEIRA FERNANDES;(32) 3531-4755;PCMG/2DRPC/UBÁ - 15DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - UBERABA""";"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - UBERABA""";Rua;LUIZ PROSPERO;"""242""";"""""";PARQUE DAS AMERICAS;UBERABA;"""38045-310""";depol.abadia@policiacivil.mg.gov.br;DR. EWERTON EVANGELISTA;(34) 3319-8353;PCMG/1DRPC/UBERABA-ABADIA;;;
"""01 DELEGACIA DE POLICIA CIVIL - UBERLANDIA""";"""01 E 02 DELEGACIAS REGIONAIS DE POLICIA CIVIL - UBERLANDIA""";Avenida;GETULIO VARGAS;"""2323""";DELEGACIA REGIONAL;TUBALINA;UBERLANDIA;"""38412-066""";"""1adpuberlandia@gmail.com""";JOSE ALENCAR DE MORAIS JUNIOR;(34) 3228-4318;PCMG/1DRPC/UBERLÂNDIA/AISP86;;;
"""01 DELEGACIA DE POLICIA CIVIL - VENDA NOVA""";"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - VENDA NOVA""";Avenida;VILARINHO;"""1551""";"""9 AISP""";VENDA NOVA;BELO HORIZONTE;"""31615-250""";"""1dpc.vendanova@policiacivil.mg.gov.br""";ROBERTA FERNANDES MENEZES SODRE;(31) 3257-7130;PCMG/BH/3DRPC/V NOVA/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - VESPASIANO""";"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - VESPASIANO""";Rua;SENADOR MODESTINO GONCALVES;"""33""";"""""";JARDIM ITAU;VESPASIANO;"""33.200-512""";cartorio1dpc@gmail.com;MAYCON ROBERTO FERREIRA GUIMARAES;(31) 3257-7955;PCMG/3DRPC/VESPASIANO/1DPC;;;
"""01 DELEGACIA DE POLICIA CIVIL - VICOSA""";"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - VICOSA""";Rua;NOSSA SENHORA DAS GRACAS;"""53""";;BOM JESUS;VICOSA;"""36570-300""";chefiacartorio.vicosa@policiacivil.mg.gov.br;DR. JOSE DONIZETTI TEIXEIRA;(31) 3899-5300;PCMG/5DRPC/VIÇOSA/PROTOCOLO;;;
"""01 DELEGACIA DE REPRESSAO AS ACOES CRIMINOSAS ORGANIZADAS (DRACO)"""; DIVISAO ESPECIALIZADA OPERACIONAL - DEOESP;Rua;BERNARDO GUIMARAES;"""1468""";"""""";FUNCIONARIOS;BELO HORIZONTE;"""30140-082""";deoesp@policiacivil.mg.gov.br;DAVI BATISTA GOMES;(31) 3257-7169;PCMG/DEOESP/DRACOI/GAB;;;
"""01 DELEGACIA ESPECIALIZADA DE ATENDIMENTO A MULHER""";DIVISAO ESPECIALIZADA EM ATENDIMENTO A MULHER, AO IDOSO E A PESSOA COM DEFICIENCIA E VITIMAS DE INTOLERANCIA - DEMID;Rua;RIO GRANDE DO SUL;"""661""";"""7 ANDAR""";BARRO PRETO;BELO HORIZONTE;"""30170-114""";coordenacaodemid@gmail.com;JULIANA CALIFF DE MATOS;(00) 3330-5743;"""""";;;
"""01 DELEGACIA ESPECIALIZADA DE COMBATE A CORRUPCAO""";DIVISAO ESPECIALIZADA DE COMBATE A CORRUPCAO, INVESTIGACAO A FRAUDES E CRIMES CONTRA A ORDEM TRIBUTARIA;Avenida;FRANCISCO SALES;"""780""";"""2 ANDAR""";SANTA EFIGENIA;BELO HORIZONTE;"""30150-222""";capa.deif@policiacivil.mg.gov.br;DRA. CINARA DA ROCHA E SANTOS LIMA;(31) 3217-9755;PCMG/SIPJ/DEF/1ªDECCOR;;;
"""01 DELEGACIA ESPECIALIZADA DE COMBATE AO NARCOTRAFICO""";DIVISAO ESPECIALIZADA DE COMBATE AO NARCOTRAFICO;Avenida;JOSE BONIFACIO;"""07""";"""""";SAO CRISTOVAO;BELO HORIZONTE;"""31210-690""";coordenacao.denarc@policiacivil.mg.gov.br;FERNANDO TOMAZ GOMES;(31) 3236-8614;PCMG/DENARC/DIV/1DERA;;;
"""01 DELEGACIA ESPECIALIZADA DE HOMICIDIOS - BELO HORIZONTE""";DIVISAO ESPECIALIZADA EM INVESTIGACAO DE CRIMES CONTRA A VIDA;Avenida;PRESIDENTE ANTONIO CARLOS;"""901""";"""""";SAO CRISTOVAO;BELO HORIZONTE;"""31210-010""";dhpp@policiacivil.mg.gov.br;DRA. IARA FRANCA CAMARGOS;(31) 3478-7500;"""""";;;
"""01 DELEGACIA ESPECIALIZADA DE INVESTIGACAO DE ATO INFRACIONAL""";DIVISAO ESPECIALIZADA EM ORIENTACAO E PROTECAO A CRIANCA E AO ADOLESCENTE - DOPCAD;Rua;RIO GRANDE DO SUL;"""661""";"""4 ANDAR""";BARRO PRETO;BELO HORIZONTE;"""30170-114""";deais.civil@gmail.com;DR. ANGELO RAMALHO ALVARES;(31) 3330-5721;PCMG/DOPCAD/DEAI/CENT-SUL/GAB;;;
"""01 DELEGACIA ESPECIALIZADA DE PROTECAO A CRIANCA E AO ADOLESCENTE""";DIVISAO ESPECIALIZADA EM ORIENTACAO E PROTECAO A CRIANCA E AO ADOLESCENTE - DOPCAD;Avenida;NOSSA SENHORA DE FATIMA;"""2175""";"""""";CARLOS PRATES;BELO HORIZONTE;"""30710-182""";depca.pcmg@gmail.com;LARISSA MAYERHOFER;"""3228-9000""";PCMG/DEFAM/DOPCAD/DEPCA/PROTOC;;;
"""01 DELEGACIA ESPECIALIZADA EM DEFESA DO CONSUMIDOR""";DIVISAO ESPECIALIZADA DE INVESTIGACAO AOS CRIMES CIBERNETICOS E DEFESA DO CONSUMIDOR;Rua;MARTIM DE CARVALHO;"""94""";TERREO;SANTO AGOSTINHO;BELO HORIZONTE;"""30190-090""";delegaciadoconsumidor@policiacivil.mg.gov.br;DRA. ELYENNI CELIDA DA SILVA;(31) 3257-7095;PCMG/SIPJ/DEF/1ªDECON;;;
"""01 DELEGACIA ESPECIALIZADA EM INVESTIGACAO A FURTO E ROUBO DE VEICULOS AUTOMOTORES""";DIVISAO ESPECIALIZADA EM PREVENCAO E INVESTIGACAO A FURTO E ROUBO DE VEICULOS AUTOMOTORES;Rua;UBERABA;"""175""";"""""";BARRO PRETO;BELO HORIZONTE;"""30180-080""";protocolo.depifrva@policiacivil.mg.gov.br;DR. FILYPE UTSCH MILHOMEM;(31) 3299-5201;PCMG/DEICTRAN/DEPIFRVA/PROTOCOLO-GE;;;
"""01 DELEGACIA ESPECIALIZADA EM INVESTIGACAO DE CRIME CIBERNETICO""";DIVISAO ESPECIALIZADA DE INVESTIGACAO AOS CRIMES CIBERNETICOS E DEFESA DO CONSUMIDOR;Avenida;FRANCISCO SALES;"""780""";"""3 ANDAR""";SANTA EFIGENIA;BELO HORIZONTE;"""30150-222""";ciberneticos1@policiacivil.mg.gov.br;DR. ARTHUR MARTINS DA COSTA BENICIO;(31) 3217-9717;PCMG/SIPJ/DEF/1ªDEICC;;;
"""01 DELEGACIA ESPECIALIZADA EM INVESTIGACAO DE CRIME CONTRA O MEIO AMBIENTE E CONFLITOS AGRARIOS""";DIVISAO ESPECIALIZADA OPERACIONAL - DEMA;Rua;BERNARDO GUIMARAES;"""1571""";"""2 ANDAR""";LOURDES;BELO HORIZONTE;"""30.140-081""";cartorio.1demaca.dema@policiacivil.mg.gov.br;ADRIANA BIANCHINNI GALLIAC;(31) 3207-2500;PCMG/DEMA/DEOMA/1DEMACA;;;
"""01 DELEGACIA ESPECIALIZADA EM INVESTIGACAO DE CRIMES DE TRANSITO""";DIVISAO ESPECIALIZADA EM PREVENCAO E INVESTIGACAO DE CRIMES DE TRANSITO;Rua;SERGIPE;"""57""";"""""";BOA VIAGEM;BELO HORIZONTE;"""30.130-170""";cartorio.primeiradepict@gmail.com;DR. FREDERICO JOSE GROSSI;(31) 3214-7650;DEICTRAN/1ªDEPICT/GABINETE;;;
"""01 DELEGACIA ESPECIALIZADA EM INVESTIGACAO DE FRAUDES""";DIVISAO ESPECIALIZADA DE COMBATE A CORRUPCAO, INVESTIGACAO A FRAUDES E CRIMES CONTRA A ORDEM TRIBUTARIA;Avenida;FRANCISCO SALES;"""780""";"""2 ANDAR""";SANTA EFIGENIA;BELO HORIZONTE;"""30150-222""";capa.deif@policiacivil.mg.gov.br;DRA. BIANCA SANTOS SE PRADO WANDERLEY;(31) 3217-9744;PCMG/SIPJ/DEF/1ªDEIF;;;
"""01 DELEGACIA ESPECIALIZADA EM INVESTIGACAO E REPRESSAO AO FURTO E ROUBO""";DIVISAO ESPECIALIZADA OPERACIONAL - DEPATRI;Avenida;AMAZONAS;"""7.025""";"""""";NOVA GAMELEIRA;BELO HORIZONTE;"""30.510-000""";depatri.adm@policiacivil.mg.gov.br;HENRIQUE JOSE DE FREITAS MARQUES;(31) 3257-6510;PCMG/DEPATRI/1DEIRFR;;;
